Frame,Visibility,X,Y,Hit,Reason
0,1,1218,498,0,
1,1,1211,453,0,
2,1,1200,420,0,
3,1,1192,397,0,
4,1,1188,377,0,
5,1,1185,362,0,
6,1,1181,351,0,
7,1,1177,345,0,
8,1,1173,337,0,
9,1,1170,337,0,
10,1,1166,333,0,
11,1,1166,333,0,
12,1,1162,337,0,
13,1,1162,337,1,Ramp
14,1,1162,345,0,
15,1,1170,351,0,
16,1,1177,348,0,
17,1,1185,351,0,
18,1,1188,360,0,
19,1,1192,371,0,
20,1,1200,382,0,
21,1,1203,393,0,
22,1,1207,405,0,
23,1,1211,420,0,
24,1,1215,435,0,
25,1,1218,450,0,
26,1,1222,468,0,
27,1,1226,487,0,
28,1,1230,510,0,
29,1,1230,532,0,
30,1,1230,555,0,
31,1,1233,577,0,
32,1,1237,600,0,
33,1,1237,630,0,
34,1,1237,656,0,
35,1,1241,677,0,
36,1,1241,682,1,Ypeak
37,1,1237,677,0,
38,1,1225,605,0,
39,1,1230,562,0,
40,1,1230,536,0,
41,1,1230,517,0,
42,1,1226,498,0,
43,1,1222,487,0,
44,1,1222,472,0,
45,1,1218,465,0,
46,1,1218,457,0,
47,1,1215,450,0,
48,1,1215,446,0,
49,1,1211,446,0,
50,1,1211,446,0,
51,1,1211,446,0,
52,1,1207,450,0,
53,1,1207,457,0,
54,1,1207,465,0,
55,1,1203,476,0,
56,1,1203,491,0,
57,1,1200,502,0,
58,1,1200,517,0,
59,1,1200,528,1,Ypeak+Ramp
60,1,1211,495,0,
61,1,1218,442,0,
62,1,1230,405,0,
63,1,1237,375,0,
64,1,1241,345,0,
65,1,1248,322,0,
66,1,1252,307,0,
67,1,1260,288,0,
68,1,1263,276,0,
69,1,1267,262,0,
70,1,1271,255,0,
71,1,1275,251,0,
72,1,1278,247,0,
73,1,1282,247,0,
74,1,1282,247,0,
75,1,1286,251,0,
76,1,1290,255,0,
77,1,1293,262,0,
78,1,1293,273,0,
79,1,1297,285,0,
80,1,1297,300,0,
81,1,1297,318,0,
82,1,1297,337,0,
83,1,1301,356,0,
84,1,1301,375,0,
85,1,1301,397,0,
86,1,1301,420,0,
87,1,1297,446,0,
88,1,1293,472,0,
89,1,1298,482,0,
90,1,1295,493,0,
91,1,1287,512,0,
92,1,1283,517,1,Ypeak+Ramp
93,1,1289,492,0,
94,1,1252,401,0,
95,1,1226,300,0,
96,1,1211,221,0,
97,1,1196,165,0,
98,1,1185,116,0,
99,1,1173,78,0,
100,1,1166,52,0,
101,1,1158,26,0,
102,1,1155,6,0,
103,0,0,0,0,
104,0,0,0,0,
105,0,0,0,0,
106,0,0,0,0,
107,0,0,0,0,
108,0,0,0,0,
109,0,0,0,0,
110,0,0,0,0,
111,0,0,0,0,
112,0,0,0,0,
113,0,0,0,0,
114,0,0,0,0,
115,0,0,0,0,
116,0,0,0,0,
117,1,1098,3,0,
118,1,1095,15,0,
119,1,1095,30,0,
120,1,1091,45,0,
121,1,1091,60,0,
122,1,1091,78,0,
123,1,1087,96,0,
124,1,1087,116,0,
125,1,1087,135,0,
126,1,1087,157,0,
127,1,1087,175,1,Ypeak
