frame,player,det_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_s,L_eye_x,L_eye_y,L_eye_s,R_eye_x,R_eye_y,R_eye_s,L_ear_x,L_ear_y,L_ear_s,R_ear_x,R_ear_y,R_ear_s,L_shoulder_x,L_shoulder_y,L_shoulder_s,R_shoulder_x,R_shoulder_y,R_shoulder_s,L_elbow_x,L_elbow_y,L_elbow_s,R_elbow_x,R_elbow_y,R_elbow_s,L_wrist_x,L_wrist_y,L_wrist_s,R_wrist_x,R_wrist_y,R_wrist_s,L_hip_x,L_hip_y,L_hip_s,R_hip_x,R_hip_y,R_hip_s,L_knee_x,L_knee_y,L_knee_s,R_knee_x,R_knee_y,R_knee_s,L_ankle_x,L_ankle_y,L_ankle_s,R_ankle_x,R_ankle_y,R_ankle_s
0,top,1,933.25,372.87,1007.81,589.08,970.53,391.24,0.8215,974.23,387.02,0.8419,967.36,387.02,0.8675,983.20,387.54,0.7826,964.20,389.13,0.7450,995.87,409.19,0.8089,955.75,408.13,0.8006,999.03,435.58,0.7590,944.67,429.24,0.7872,1000.09,458.28,0.7387,939.91,447.19,0.7923,983.73,473.06,0.6439,964.72,473.06,0.6530,978.45,516.87,0.7069,965.78,515.81,0.6774,973.70,562.79,0.7944,985.84,540.09,0.7050
0,bottom,0,758.90,576.78,840.50,840.31,805.49,602.38,0.7795,806.13,597.24,0.5615,808.06,597.88,0.6494,788.12,599.81,0.7740,808.71,603.03,0.8052,772.03,626.19,0.8441,815.78,637.13,0.8293,764.31,667.37,0.8252,821.57,679.59,0.8055,770.75,698.25,0.7528,831.87,713.69,0.7878,783.61,713.05,0.7071,806.13,713.69,0.6792,791.98,760.01,0.7726,806.13,763.87,0.8012,794.55,810.20,0.7075,790.69,823.07,0.8040
1,top,1,933.17,372.89,1007.42,589.14,969.77,390.73,0.8532,973.99,387.04,0.8711,966.60,387.04,0.8947,982.97,387.56,0.8002,963.43,389.15,0.7499,995.64,409.21,0.8150,955.52,408.15,0.8088,998.81,435.61,0.7667,944.43,428.75,0.7904,999.86,457.78,0.7479,939.68,447.22,0.7995,983.50,473.09,0.6447,964.49,473.09,0.6536,978.75,516.91,0.7083,966.07,515.86,0.6700,973.99,562.85,0.7954,985.61,539.62,0.7008
1,bottom,0,758.86,578.08,841.93,840.61,805.52,602.31,0.7906,806.16,597.18,0.5788,807.44,597.82,0.6656,788.22,599.75,0.7653,808.09,602.95,0.8078,772.19,626.67,0.8392,815.78,636.92,0.8304,764.50,667.69,0.8208,821.55,679.22,0.8093,770.91,698.45,0.7467,833.08,713.19,0.7964,783.73,712.55,0.7025,805.52,713.19,0.6699,792.06,759.98,0.7595,806.16,764.47,0.7918,795.27,809.97,0.7014,790.78,823.43,0.7910
2,top,1,933.26,373.34,1007.50,589.20,970.38,391.15,0.8401,974.07,386.93,0.8595,967.22,386.93,0.8816,982.50,387.99,0.7820,963.53,389.57,0.7531,995.68,409.07,0.8136,955.63,408.01,0.8114,998.84,434.89,0.7658,944.03,429.62,0.7913,999.37,457.03,0.7526,939.82,447.54,0.7974,983.56,473.36,0.6543,965.11,473.36,0.6631,978.82,516.58,0.7119,966.17,516.05,0.6767,974.07,562.43,0.7996,985.67,539.77,0.7029
2,bottom,0,758.78,576.83,840.84,840.82,805.61,601.83,0.7861,806.25,596.68,0.5711,807.54,597.97,0.6571,788.21,599.90,0.7810,808.83,602.48,0.8067,772.10,625.68,0.8426,815.92,637.28,0.8290,763.72,666.93,0.8268,821.72,679.17,0.8111,770.81,696.58,0.7460,833.97,712.04,0.7980,783.05,712.69,0.7080,806.25,712.69,0.6769,792.08,759.74,0.7724,806.25,764.25,0.8022,795.30,810.01,0.7026,790.79,822.90,0.8035
3,top,1,933.35,373.41,1007.18,589.07,969.74,391.21,0.8432,973.95,386.99,0.8603,967.11,386.99,0.8803,982.38,387.52,0.7824,963.42,389.10,0.7550,995.54,408.58,0.8161,955.53,408.05,0.8111,998.70,434.91,0.7663,943.94,429.11,0.7917,999.23,457.02,0.7504,939.73,447.54,0.7969,983.43,473.34,0.6531,965.00,473.34,0.6622,978.69,517.04,0.7098,966.06,516.51,0.6757,973.95,562.85,0.7996,985.54,540.21,0.6988
3,bottom,0,758.20,576.97,840.24,840.77,805.66,601.96,0.7764,806.31,596.80,0.5693,807.60,598.09,0.6355,788.92,600.02,0.7837,808.88,603.24,0.7995,772.17,625.79,0.8394,815.32,637.38,0.8242,763.16,667.01,0.8312,821.76,678.60,0.8079,770.24,696.63,0.7539,834.00,710.80,0.8045,783.12,712.09,0.7067,805.66,712.73,0.6824,792.14,759.75,0.7805,805.66,764.26,0.8054,794.71,809.99,0.7108,790.21,823.51,0.8099
4,top,1,933.30,373.33,1006.98,589.05,969.61,391.13,0.8510,973.83,386.92,0.8688,966.45,386.92,0.8884,982.25,387.97,0.7858,963.29,389.55,0.7604,995.42,408.51,0.8168,954.87,408.51,0.8127,998.58,434.84,0.7675,944.33,429.05,0.7932,999.10,456.96,0.7521,939.59,447.48,0.8016,983.30,473.81,0.6519,964.35,473.29,0.6597,978.57,517.00,0.7128,965.93,516.47,0.6809,973.83,562.82,0.8017,985.41,539.65,0.6992
4,bottom,0,756.84,577.08,840.75,841.01,805.88,602.08,0.7714,807.17,596.28,0.5781,808.46,597.57,0.6325,789.13,600.15,0.7825,809.10,602.72,0.7880,773.02,625.92,0.8329,816.19,636.88,0.8137,762.07,665.87,0.8309,822.64,678.76,0.8031,769.15,695.51,0.7661,833.59,710.98,0.7979,783.33,712.27,0.7004,805.88,712.91,0.6762,792.35,759.31,0.7752,805.88,764.46,0.8071,794.28,809.57,0.7148,790.42,823.10,0.8076
5,top,1,933.29,373.17,1006.53,589.18,969.38,391.00,0.8507,973.60,386.78,0.8716,966.22,387.31,0.8882,982.04,387.83,0.7803,963.06,389.42,0.7582,995.23,408.93,0.8174,954.62,408.40,0.8136,998.39,434.77,0.7668,944.07,428.97,0.7924,998.92,456.92,0.7526,939.32,447.43,0.8050,983.10,473.79,0.6519,964.64,473.79,0.6591,978.88,517.04,0.7136,965.69,516.51,0.6873,973.60,562.92,0.8050,985.21,539.71,0.6986
5,bottom,0,755.41,577.00,840.93,841.12,805.90,602.02,0.7709,807.19,596.22,0.5834,808.48,597.51,0.6140,789.14,599.44,0.7723,809.13,602.67,0.7807,773.02,625.24,0.8302,816.22,636.84,0.8058,761.41,664.57,0.8258,823.32,678.76,0.7997,767.86,694.88,0.7771,833.63,711.00,0.7959,782.69,711.00,0.6918,804.62,712.29,0.6699,792.36,758.71,0.7644,805.90,763.87,0.7960,794.94,809.01,0.7063,790.43,823.20,0.8024
6,top,1,933.04,373.36,1006.11,589.07,969.05,391.16,0.8623,973.26,386.95,0.8772,965.89,386.95,0.8994,981.68,387.48,0.7824,962.73,389.58,0.7632,994.85,408.54,0.8142,954.83,408.54,0.8164,998.01,434.87,0.7678,944.29,429.08,0.7951,998.54,456.99,0.7573,939.03,447.51,0.8041,983.26,473.32,0.6550,964.83,473.32,0.6619,979.05,517.03,0.7135,965.89,516.50,0.6789,973.78,562.85,0.8034,985.90,539.67,0.7031
6,bottom,0,754.21,576.85,840.33,841.05,806.95,601.88,0.7758,806.95,596.08,0.5919,808.88,597.37,0.6135,789.53,599.95,0.7747,809.53,603.17,0.7727,773.41,625.10,0.8286,816.62,636.71,0.8031,759.86,664.45,0.8315,823.07,678.64,0.7991,766.96,695.41,0.7929,834.04,710.89,0.7850,782.44,710.89,0.6868,804.37,711.53,0.6650,792.11,758.62,0.7606,806.30,763.78,0.8007,794.05,808.28,0.7123,790.82,822.47,0.8040
