Start_Frame,End_Frame,Start_Sec,End_Sec,Duration_Sec
11332,11667,453.280,466.680,13.400
11878,12003,475.120,480.120,5.000
12289,12984,491.560,519.360,27.800
13432,13584,537.280,543.360,6.080
13915,14289,556.600,571.560,14.960
14941,15084,597.640,603.360,5.720
15364,15507,614.560,620.280,5.720
15781,15966,631.240,638.640,7.400
16231,16833,649.240,673.320,24.080
17422,17661,696.880,706.440,9.560
17983,18132,719.320,725.280,5.960
18169,19131,726.760,765.240,38.480
19576,20541,783.040,821.640,38.600
20953,21864,838.120,874.560,36.440
21916,22146,876.640,885.840,9.200
23056,23469,922.240,938.760,16.520
23821,24348,952.840,973.920,21.080
24976,26094,999.040,1043.760,44.720
27394,27777,1095.760,1111.080,15.320
28234,28746,1129.360,1149.840,20.480
29122,29373,1164.880,1174.920,10.040
31393,31500,1255.720,1260.000,4.280
31753,31887,1270.120,1275.480,5.360
32341,32625,1293.640,1305.000,11.360
32911,33231,1316.440,1329.240,12.800
33607,34116,1344.280,1364.640,20.360
34894,35094,1395.760,1403.760,8.000
35143,35307,1405.720,1412.280,6.560
35758,36105,1430.320,1444.200,13.880
36544,37782,1461.760,1511.280,49.520
38368,38580,1534.720,1543.200,8.480
39805,39927,1592.200,1597.080,4.880
39955,40200,1598.200,1608.000,9.800
40615,41247,1624.600,1649.880,25.280
41740,41865,1669.600,1674.600,5.000
42217,42483,1688.680,1699.320,10.640
42793,43116,1711.720,1724.640,12.920
43666,43827,1746.640,1753.080,6.440
44110,44247,1764.400,1769.880,5.480
44398,44853,1775.920,1794.120,18.200
48268,48630,1930.720,1945.200,14.480
48958,49125,1958.320,1965.000,6.680
49579,49743,1983.160,1989.720,6.560
50017,50115,2000.680,2004.600,3.920
50296,50409,2011.840,2016.360,4.520
50695,50820,2027.800,2032.800,5.000
50854,50943,2034.160,2037.720,3.560
51250,51732,2050.000,2069.280,19.280
52399,52518,2095.960,2100.720,4.760
52735,53730,2109.400,2149.200,39.800
55066,55461,2202.640,2218.440,15.800
55876,56430,2235.040,2257.200,22.160
56785,57063,2271.400,2282.520,11.120
57106,57210,2284.240,2288.400,4.160
57946,58143,2317.840,2325.720,7.880
58786,59028,2351.440,2361.120,9.680
59395,59640,2375.800,2385.600,9.800
59959,60291,2398.360,2411.640,13.280
60652,60870,2426.080,2434.800,8.720
62707,63114,2508.280,2524.560,16.280
63697,64266,2547.880,2570.640,22.760
64654,64791,2586.160,2591.640,5.480
65113,65517,2604.520,2620.680,16.160
65971,66210,2638.840,2648.400,9.560
66244,66306,2649.760,2652.240,2.480
66712,66951,2668.480,2678.040,9.560
67606,68721,2704.240,2748.840,44.600
69163,69264,2766.520,2770.560,4.040
70147,70485,2805.880,2819.400,13.520
70513,71001,2820.520,2840.040,19.520
71542,71736,2861.680,2869.440,7.760
72016,72303,2880.640,2892.120,11.480
72826,73908,2913.040,2956.320,43.280
74278,74664,2971.120,2986.560,15.440
75061,75636,3002.440,3025.440,23.000
76918,77148,3076.720,3085.920,9.200
77746,77931,3109.840,3117.240,7.400
78223,78780,3128.920,3151.200,22.280
79774,80610,3190.960,3224.400,33.440
82375,82536,3295.000,3301.440,6.440
83794,84714,3351.760,3388.560,36.800
85801,86211,3432.040,3448.440,16.400
87097,87555,3483.880,3502.200,18.320
91159,91302,3646.360,3652.080,5.720
91657,91689,3666.280,3667.560,1.280
91696,92010,3667.840,3680.400,12.560
92725,93150,3709.000,3726.000,17.000
93544,93921,3741.760,3756.840,15.080
94816,95109,3792.640,3804.360,11.720
95800,96642,3832.000,3865.680,33.680
97105,97584,3884.200,3903.360,19.160
98062,98484,3922.480,3939.360,16.880
99922,100365,3996.880,4014.600,17.720
101500,102117,4060.000,4084.680,24.680
103030,103416,4121.200,4136.640,15.440
103927,104097,4157.080,4163.880,6.800
104518,104682,4180.720,4187.280,6.560
105292,105477,4211.680,4219.080,7.400
105520,105648,4220.800,4225.920,5.120
106525,106593,4261.000,4263.720,2.720
106867,107163,4274.680,4286.520,11.840
107584,107958,4303.360,4318.320,14.960
108310,108390,4332.400,4335.600,3.200
108835,109830,4353.400,4393.200,39.800
110479,110856,4419.160,4434.240,15.080
112840,113442,4513.600,4537.680,24.080
113908,114453,4556.320,4578.120,21.800
114958,115539,4598.320,4621.560,23.240
116197,116352,4647.880,4654.080,6.200
116767,117399,4670.680,4695.960,25.280
118873,119982,4754.920,4799.280,44.360
121513,121812,4860.520,4872.480,11.960
122311,122514,4892.440,4900.560,8.120
122917,123204,4916.680,4928.160,11.480
124687,125268,4987.480,5010.720,23.240
125887,126873,5035.480,5074.920,39.440
127771,128175,5110.840,5127.000,16.160
128545,128955,5141.800,5158.200,16.400
129523,129744,5180.920,5189.760,8.840
131035,131790,5241.400,5271.600,30.200
132505,132672,5300.200,5306.880,6.680
133216,133398,5328.640,5335.920,7.280
133924,134580,5356.960,5383.200,26.240
135043,135627,5401.720,5425.080,23.360
