Frame,Time_Sec,Difference_Score
0,0.0,0
1,0.033,72673
2,0.067,673537
3,0.1,718399
4,0.133,678912
5,0.167,706496
6,0.2,668372
7,0.233,51607
8,0.267,676149
9,0.3,658768
10,0.333,971736
11,0.367,763146
12,0.4,718821
13,0.433,112326
14,0.467,670791
15,0.5,581951
16,0.533,650528
17,0.567,642313
18,0.6,636215
19,0.633,180339
20,0.667,1130175
21,0.7,681075
22,0.733,587075
23,0.767,693381
24,0.8,596253
25,0.833,70401
26,0.867,703504
27,0.9,651724
28,0.933,700704
29,0.967,664005
30,1.0,945278
31,1.033,95166
32,1.067,575855
33,1.1,681290
34,1.133,657496
35,1.167,645581
36,1.2,678925
37,1.233,54513
38,1.267,688902
39,1.3,796815
40,1.333,858576
41,1.367,606612
42,1.4,685326
43,1.433,103469
44,1.467,620300
45,1.5,679905
46,1.533,651345
47,1.567,669810
48,1.6,700988
49,1.633,59963
50,1.667,868863
51,1.7,685218
52,1.733,680474
53,1.767,666908
54,1.8,633096
55,1.833,42700
56,1.867,641836
57,1.9,664812
58,1.933,608873
59,1.967,642835
60,2.0,850537
61,2.033,65770
62,2.067,547281
63,2.1,670203
64,2.133,587731
65,2.167,605577
66,2.2,643631
67,2.233,54851
68,2.267,625207
69,2.3,731944
70,2.333,869357
71,2.367,599961
72,2.4,650202
73,2.433,102548
74,2.467,630912
75,2.5,646770
76,2.533,625711
77,2.567,614483
78,2.6,620481
79,2.633,49427
80,2.667,817664
81,2.7,636350
82,2.733,633700
83,2.767,669778
84,2.8,617793
85,2.833,60345
86,2.867,624337
87,2.9,662237
88,2.933,618329
89,2.967,629013
90,3.0,857157
91,3.033,60961
92,3.067,564632
93,3.1,673228
94,3.133,605731
95,3.167,625433
96,3.2,619317
97,3.233,58507
98,3.267,646698
99,3.3,694201
100,3.333,786245
101,3.367,544799
102,3.4,628252
103,3.433,112748
104,3.467,587526
105,3.5,672567
106,3.533,601875
107,3.567,634043
108,3.6,691028
109,3.633,54359
110,3.667,785648
111,3.7,658364
112,3.733,628999
113,3.767,651662
114,3.8,620986
115,3.833,53111
116,3.867,609392
117,3.9,632476
118,3.933,603528
119,3.967,638698
120,4.0,795791
121,4.033,51544
122,4.067,560927
123,4.1,645071
124,4.133,573369
125,4.167,565887
126,4.2,587912
127,4.233,40556
128,4.267,603220
129,4.3,697148
130,4.333,774691
131,4.367,529769
132,4.4,624053
133,4.433,98940
134,4.467,587578
135,4.5,660970
136,4.533,624879
137,4.567,604194
138,4.6,622368
139,4.633,57426
140,4.667,801558
141,4.7,567066
142,4.733,592736
143,4.767,687307
144,4.8,587899
145,4.833,61594
146,4.867,590401
147,4.9,616169
148,4.933,629618
149,4.967,624198
150,5.0,1196653
151,5.033,217079
152,5.067,2008847
153,5.1,616119
154,5.133,680870
155,5.167,641746
156,5.2,658947
157,5.233,61862
158,5.267,716723
159,5.3,777326
160,5.333,856070
161,5.367,659683
162,5.4,676170
163,5.433,116097
164,5.467,639343
165,5.5,676666
166,5.533,611629
167,5.567,621219
168,5.6,634245
169,5.633,71294
170,5.667,1160209
171,5.7,820216
172,5.733,614105
173,5.767,679672
174,5.8,587265
175,5.833,62924
176,5.867,620640
177,5.9,568565
178,5.933,626230
179,5.967,737812
180,6.0,855425
181,6.033,44923
182,6.067,574804
183,6.1,626692
