Image,Average_Difference_Score
1 (1).png,92.94797894483025
1 (10).png,41.34745905671296
1 (11).png,42.94752605131173
1 (12).png,43.303577989969135
1 (13).png,52.963969020061725
1 (14).png,39.13773232060185
1 (15).png,38.86378275462963
1 (16).png,30.69296909722222
1 (17).png,25.705781336805558
1 (18).png,25.5065504533179
1 (19).png,34.592181626157405
1 (2).png,45.920437538580245
1 (20).png,25.606149681712964
1 (21).png,25.50232032214506
1 (22).png,38.96787918595679
1 (23).png,25.504874209104937
1 (24).png,41.978363233024695
1 (25).png,39.73899492669753
1 (26).png,25.46090144675926
1 (27).png,25.536750829475313
1 (28).png,25.506076909722225
1 (29).png,25.52330332754629
1 (3).png,50.69553697916666
1 (30).png,25.45388947723765
1 (31).png,25.538516743827163
1 (32).png,25.578275115740745
1 (33).png,44.24448673804012
1 (34).png,87.39921350308643
1 (35).png,44.284030555555546
1 (36).png,37.12994486882715
1 (37).png,25.406607561728396
1 (38).png,25.51650210262346
1 (39).png,25.587364322916663
1 (4).png,45.1843997974537
1 (40).png,25.459088908179016
1 (41).png,40.989370042438274
1 (42).png,38.95317604166667
1 (43).png,25.473256674382714
1 (44).png,25.362896903935187
1 (45).png,25.537338609182097
1 (46).png,40.071391579861114
1 (47).png,25.43475538194444
1 (48).png,38.37111742862655
1 (49).png,25.4546436246142
1 (5).png,43.28620372299383
1 (50).png,25.519832224151237
1 (51).png,38.92666789158951
1 (6).png,44.95042087191357
1 (7).png,47.25813260995371
1 (8).png,41.62161854745371
1 (9).png,40.89899590084876
