Image,Average_Difference_Score
1 (1).png,270.1100327032319
1 (10).png,302.3535999279079
1 (11).png,98.00980907561683
1 (12).png,255.20215283063305
1 (13).png,137.0124194019214
1 (14).png,149.68289974555955
1 (15).png,444.52978020492685
1 (16).png,131.16097359841953
1 (17).png,243.15755172123318
1 (18).png,252.89849567521014
1 (19).png,155.15328009168374
1 (2).png,57.290771036295936
1 (3).png,615.6702328014422
1 (4).png,1229.2387277361504
1 (5).png,19.955152235099675
1 (6).png,78.17342410296911
1 (7).png,36.842518987169775
1 (8).png,63.88764593102303
1 (9).png,971.544820471441
