Image,Average_Difference_Score
1 (1).png,41.56391111774209
1 (10).png,44.340291295934605
1 (11).png,41.515057704595876
1 (12).png,35.566066743827164
1 (13).png,36.25678403501158
1 (14).png,36.23619318455825
1 (15).png,40.55575490692516
1 (16).png,36.28750094943577
1 (17).png,45.54575538917824
1 (18).png,40.992908377941745
1 (19).png,45.02727897738233
1 (2).png,96.39951177903164
1 (3).png,43.612831428433644
1 (4).png,49.07802761501736
1 (5).png,50.390867075978974
1 (6).png,50.06212120527103
1 (7).png,45.37535692756559
1 (8).png,50.09489587854456
1 (9).png,41.46196736653646
