Image,Average_Difference_Score
1 (1).png,153221201.94444445
1 (10).png,163456049.83333334
1 (11).png,153041108.7222222
1 (12).png,131110748.44444445
1 (13).png,133657008.66666667
1 (14).png,133581102.55555555
1 (15).png,149504734.8888889
1 (16).png,133770243.5
1 (17).png,167899872.66666666
1 (18).png,151116257.44444445
1 (19).png,165988561.2222222
1 (2).png,355367160.2222222
1 (3).png,160774341.7777778
1 (4).png,180921241.0
1 (5).png,185760892.3888889
1 (6).png,184549003.6111111
1 (7).png,167271715.7777778
1 (8).png,184669824.16666666
1 (9).png,152845396.5
